Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
2.858,0.000,0.000,0.059,0.015,0.000, ,0.07,1.78,-0.56,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.931,0.000,0.000,0.015,0.007,0.000, ,0.46,1.65,-0.56,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
2.931,0.000,0.000,0.059,0.022,0.029, ,0.33,2.30,-0.56,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
2.989,0.000,0.000,0.000,0.000,0.000, ,0.59,1.78,-0.69,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.967,0.000,0.000,0.029,0.015,0.007, ,0.72,1.38,0.63,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.982,0.000,0.000,0.015,0.000,0.000, ,1.12,2.04,0.49,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.87,2000.00,0.00,2000.00,0.00,
3.004,0.000,0.000,0.044,0.029,0.037, ,1.65,1.38,-0.43,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
2.989,0.000,0.000,0.037,0.007,0.022, ,1.51,2.04,0.76,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
3.026,0.000,0.000,0.022,0.000,0.007, ,1.51,1.78,1.02,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
3.004,0.000,0.000,0.007,0.007,0.000, ,2.17,2.30,1.28,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
3.004,0.000,0.000,0.088,0.037,0.022, ,3.09,2.30,1.41,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
3.063,0.000,0.000,0.000,0.000,0.000, ,2.70,2.17,1.55,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
3.033,0.000,0.000,0.066,0.022,0.044, ,2.83,2.30,2.20,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
3.055,0.000,0.000,0.000,0.000,0.000, ,2.57,2.17,2.73,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
3.063,0.000,0.000,0.015,0.000,0.000, ,2.83,2.17,2.86,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
