Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
3.136,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.121,0.000,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.092,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.077,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.85,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.055,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.026,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,-0.27 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,3.91,34.25,
2.997,0.000,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,1.06,-0.48 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.21,
2.945,0.000,0.000,0.073,0.000,0.000, ,0.00,0.00,0.00,0.00,0.43,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
2.894,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-1.49,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
2.843,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,-1.06,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.784,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.748,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.85,-0.27 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.704,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.80 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.689,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,3.91,34.29,
2.711,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
2.704,0.000,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
2.726,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.748,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.784,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.21,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.836,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.887,0.007,0.000,0.073,0.000,0.000, ,0.00,0.00,0.00,0.00,0.43,-0.48 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.931,0.000,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,0.43,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.21,
2.975,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.019,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,0.80 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.21,
3.063,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-1.28,0.80 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.099,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.143,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,1.01 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.209,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
